WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ093020.31-050158.99,DA,0.996946,17.8998,|                   |,0.0003999348,0.996946,0.00018760448,0.0013057179,9.5956304e-05,1.2567567e-07,0.000274825,0.00023336246,0.00032206633,0.00023436052
WDJ090712.84+461348.16,DA,0.9959917,15.9585,|                   |,0.00051753555,0.9959917,0.0012534017,0.00055210624,0.00018581489,1.0300242e-07,0.00046027492,0.00043121012,0.0003303915,0.00027739035
WDJ094819.81+090226.10,DA,0.99686444,8.3534,|                   |,0.00023295489,0.99686444,0.000530262,0.0012074565,0.00020200762,2.4468264e-07,0.00015838252,0.00025435642,0.00034766598,0.0002022064
WDJ095610.83+362823.16,DA,0.99666864,24.1984,|                   |,0.00050521304,0.99666864,0.0011331987,0.00035760627,0.00025024771,8.978927e-08,0.0002554766,0.00029817355,0.00026961608,0.00026165956
WDJ093324.24+573356.71,DA,0.9952797,7.7674,|                   |,0.0004561881,0.9952797,0.0016266615,0.0003806634,0.00020281505,7.757042e-08,0.00053574535,0.0006248636,0.00046559572,0.00042754502
WDJ095759.17-010707.44,DA,0.99856555,19.1978,|                   |,4.834229e-05,0.99856555,0.0002811675,0.00064561545,6.702657e-05,4.3335554e-08,0.00012180263,7.2549396e-05,0.00016079452,3.7013957e-05
WDJ090239.87+670404.36,DA,0.997277,20.2099,|                   |,7.524201e-05,0.997277,0.0005303065,0.000977166,0.00015397785,1.5087274e-07,0.0002997978,0.00015198479,0.00028187633,0.00025253312
WDJ095042.12+011526.36,DA,0.996267,27.9149,|                   |,0.00047376286,0.996267,0.0003530331,0.00090841035,0.00017092013,1.5584739e-07,0.0005281543,0.00034069017,0.0005619975,0.00039580345
WDJ091441.37+472307.53,DA,0.99391866,6.4624,|                   |,0.00050405675,0.99391866,0.0023178784,0.0006543811,0.00024726073,1.6279276e-07,0.00096310984,0.0005319307,0.00048809478,0.00037437928
WDJ095427.70-075003.06,DA,0.9939406,7.0173,|                   |,0.000545718,0.9939406,0.0007747808,0.0013494759,0.00023680618,3.2151243e-07,0.001173256,0.0005023542,0.0008289168,0.00064789806
WDJ093711.50+404425.69,DA,0.9803209,20.7187,|                   |,0.00076756935,0.9803209,0.015032063,0.00036872845,0.00053846295,2.0253226e-07,0.00055401475,0.0015022389,0.00065940607,0.00025645262
WDJ094749.71-061311.44,DA,0.99245316,11.4202,|                   |,0.0005735615,0.99245316,0.001445131,0.0013932833,0.0003541998,4.972533e-07,0.0017348599,0.00060376717,0.00078804,0.0006534141
WDJ091200.58+013919.51,DA,0.99703777,29.7192,|                   |,0.00044808208,0.99703777,0.00026460012,0.0012028272,0.00014878956,1.7949986e-07,0.00021098857,0.00022603177,0.0002350975,0.0002256144
WDJ090146.63+094029.79,DB,0.9971411,16.4936,|                   |,3.4084917e-06,3.40225e-13,8.010716e-06,9.423688e-16,0.9971411,0.0027619216,1.5297092e-06,1.7764247e-05,8.066341e-06,5.8148933e-05
WDJ090827.09+092100.28,DAH,0.9951374,13.4432,|                   |,0.0005698671,0.0020896695,0.9951374,1.7124817e-07,0.00024444488,2.003223e-08,4.664631e-05,0.0017216622,0.00016934816,2.0713669e-05
WDJ095600.60+224810.75,DB,0.9112778,15.767,|                   |,0.0013144775,0.00027891932,0.0714889,3.1272754e-07,0.9112778,0.001021735,0.0013203323,0.0061425683,0.0038530652,0.0033018521
WDJ090037.17+320735.26,DA,0.99480885,9.7374,|                   |,0.00062450976,0.99480885,0.0017244689,0.00040256605,0.0001288029,5.212225e-08,0.0010884063,0.0005960029,0.00029540982,0.0003309238
WDJ093821.66+750718.52,DB,0.9958966,8.8925,|                   |,8.060137e-05,3.4029277e-08,0.0006303303,1.0694261e-11,0.9958966,0.0003129769,0.00014119467,0.0008909386,0.00030188565,0.0017456469
WDJ093708.61+333404.69,DA,0.99698967,113.597,|                   |,8.089198e-05,0.99698967,0.00045210242,0.0012834503,0.000105706546,1.3607874e-07,0.00020885015,0.0001319165,0.00022897095,0.00051823986
WDJ094141.12+433304.37,DA,0.9951115,12.2295,|                   |,0.00029828594,0.9951115,0.0026480472,0.0005447399,0.00020641614,1.1299549e-07,0.00020648267,0.0004815301,0.00036358097,0.00013935601
WDJ091312.09+000431.04,DA,0.85620886,10.4503,|                   |,1.767609e-05,0.85620886,0.00079997256,0.14110132,0.00014331308,2.3617677e-05,0.00033887237,0.00013167392,0.0011202365,0.00011442823
WDJ094026.61+060429.67,DA,0.99750215,12.6497,|                   |,0.0003318881,0.99750215,0.0001616619,0.0011862051,6.0792598e-05,7.229306e-08,0.00020184257,0.00017873175,0.00020214538,0.00017452367
WDJ094600.83-083257.71,DB,0.99818224,16.7878,|                   |,6.7995185e-05,2.2184e-10,0.00046030473,7.242401e-14,0.99818224,0.0003258761,6.1039286e-06,0.00034996853,3.932015e-05,0.0005680961
WDJ092804.07+035414.98,DA,0.997425,21.7632,|                   |,0.0003007848,0.997425,0.00028651912,0.0010121847,0.00015998121,1.6234857e-07,0.0001571835,0.00021411637,0.0002554912,0.00018844921
WDJ090016.86+331819.03,DAZ/DZA,0.98269093,16.2182,|                   |,7.1354716e-06,0.0040879725,0.00025792318,0.98269093,1.1556266e-06,0.00027779632,0.00012279513,9.891982e-05,0.012053232,0.00040216168
WDJ090231.76+183554.93,DA,0.99643135,10.786,|                   |,0.00024608095,0.99643135,0.0011097768,0.00095203076,0.00022761342,2.1747105e-07,0.00022072821,0.00032914642,0.00030774175,0.00017535132
WDJ095945.76+032655.49,DA,0.9978858,108.901,|                   |,0.00023424326,0.9978858,0.00088273076,0.00030716593,3.6849764e-05,1.1342972e-08,0.00034235022,0.00011688257,9.875368e-05,9.52813e-05
WDJ095019.72-010423.39,DA,0.9964225,27.3382,|                   |,8.573066e-05,0.9964225,1.9602781e-05,0.00072983786,2.8119314e-06,2.0596223e-09,1.5907732e-05,5.9665313e-06,7.062544e-05,0.002647003
WDJ092729.22+312014.57,DA,0.9969241,21.4189,|                   |,0.00038141385,0.9969241,0.0005530439,0.0008595256,0.0001590187,1.3710235e-07,0.00037822287,0.00029765366,0.00024278314,0.00020419213
WDJ091850.83-070141.97,DA,0.99677277,8.0553,|                   |,0.00035491635,0.99677277,0.0009489226,0.00063403096,0.00010137718,6.448438e-08,0.00042999626,0.0002887592,0.0002464235,0.00022262485
WDJ091929.48+411803.26,DA,0.99850976,10.9549,|                   |,5.6610894e-05,0.99850976,7.848575e-05,0.0006018873,2.3968916e-05,1.4448117e-08,0.00012774677,3.4509736e-05,0.00012929685,0.00043760717
WDJ091312.74+403628.95,DA,0.9974463,22.193,|                   |,0.00032782744,0.9974463,0.00022273295,0.0011007421,0.00013418854,1.4808514e-07,0.00013380856,0.00020664163,0.00022489643,0.00020263922
WDJ092454.57+543422.31,DA,0.9971731,26.6111,|                   |,0.00036265134,0.9971731,0.0006536402,0.00067469565,3.272981e-05,2.2145262e-08,0.00011627657,0.00012636697,0.00015904116,0.000701488
